train/learning_rate,train/n_updates,eval/mean_reward,time/total_timesteps,rollout/exploration_rate,eval/mean_ep_length,train/loss,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes
0.001,1224,-316893673.874092,5000,0.7625475000000002,8760.0,38107.39453125,,,,,
0.001,2474,-316893783.971042,10000,0.5250474999999999,8760.0,69876.2109375,,,,,
0.001,3724,-316893394.655627,15000,0.28754749999999984,8760.0,78075.7421875,,,,,
0.001,4974,-316893653.701065,20000,0.05004749999999958,8760.0,77916.640625,,,,,
0.001,6224,-316893399.431006,25000,0.05,8760.0,72850.53125,,,,,
0.001,7474,-316893674.071047,30000,0.05,8760.0,63282.640625,,,,,
0.001,8724,-316893409.961502,35000,0.05,8760.0,70768.5703125,,,,,
0.001,8734,,35040,0.05,,66170.171875,63,555,-316893418.77991074,8760.0,4
0.001,9974,-316893427.676601,40000,0.05,8760.0,54929.9140625,,,,,
0.001,11224,-316893885.383435,45000,0.05,8760.0,63581.078125,,,,,
0.001,12474,-316893466.250305,50000,0.05,8760.0,64192.88671875,,,,,
0.001,13724,-316893133.931604,55000,0.05,8760.0,68958.015625,,,,,
0.001,14974,-316892944.976887,60000,0.05,8760.0,76288.5,,,,,
0.001,16224,-316893220.866416,65000,0.05,8760.0,62142.80078125,,,,,
0.001,17474,-316893945.665265,70000,0.05,8760.0,78450.8046875,,,,,
0.001,17494,,70080,0.05,,72087.7890625,222,314,-316893425.0237131,8760.0,8
0.001,18724,-316893513.355319,75000,0.05,8760.0,72038.6171875,,,,,
0.001,19974,-316893409.257649,80000,0.05,8760.0,88697.625,,,,,
0.001,21224,-316892848.065472,85000,0.05,8760.0,66859.7734375,,,,,
0.001,22474,-316892848.81784,90000,0.05,8760.0,75642.0390625,,,,,
0.001,23724,-316893627.680204,95000,0.05,8760.0,67263.609375,,,,,
0.001,24974,-316893398.657118,100000,0.05,8760.0,64027.984375,,,,,
0.001,26224,-316893182.970649,105000,0.05,8760.0,64439.734375,,,,,
0.001,26254,,105120,0.05,,59976.234375,392,267,-316893418.1472438,8760.0,12
0.001,27474,-316893312.342186,110000,0.05,8760.0,59009.078125,,,,,
0.001,28724,-316893123.218671,115000,0.05,8760.0,63315.25,,,,,
0.001,29974,-316893411.141957,120000,0.05,8760.0,56196.03125,,,,,
0.001,31224,-316893191.295974,125000,0.05,8760.0,61239.9453125,,,,,
0.001,32474,-316893002.623612,130000,0.05,8760.0,70424.625,,,,,
0.001,33724,-316893139.456875,135000,0.05,8760.0,70465.03125,,,,,
0.001,34974,-316893730.034289,140000,0.05,8760.0,65638.9453125,,,,,
0.001,35014,,140160,0.05,,68666.359375,541,258,-316893415.56783795,8760.0,16
0.001,36224,-316892892.305976,145000,0.05,8760.0,47959.25390625,,,,,
0.001,37474,-316893374.602907,150000,0.05,8760.0,75246.765625,,,,,
0.001,38724,-316893094.935155,155000,0.05,8760.0,77006.53125,,,,,
0.001,39974,-316892988.495543,160000,0.05,8760.0,79782.8125,,,,,
0.001,41224,-316893129.968732,165000,0.05,8760.0,80094.5,,,,,
0.001,42474,-316893898.061302,170000,0.05,8760.0,69346.046875,,,,,
0.001,43724,-316893416.383473,175000,0.05,8760.0,78351.4609375,,,,,
0.001,43774,,175200,0.05,,72816.1484375,682,256,-316893401.999455,8760.0,20
0.001,44974,-316892847.829261,180000,0.05,8760.0,87248.1796875,,,,,
0.001,46224,-316893677.705739,185000,0.05,8760.0,90862.0546875,,,,,
0.001,47474,-316893123.165858,190000,0.05,8760.0,92473.734375,,,,,
0.001,48724,-316893592.155829,195000,0.05,8760.0,74584.9296875,,,,,
0.001,49974,-316893129.427214,200000,0.05,8760.0,76581.2578125,,,,,
