#{"t_start": 1776097798.8722334, "env_id": "None"}
r,l,t
-316893425.459423,8760,11.413094
-316893400.336192,8760,27.686393
-316893442.571904,8760,45.408785
-316893406.752124,8760,64.001693
-316893380.003181,8760,78.063483
-316893495.000092,8760,127.942547
-316893408.921956,8760,176.374527
-316893441.144833,8760,223.407982
-316893429.168314,8760,252.280867
-316893368.506762,8760,289.35438
-316893420.855792,8760,334.300019
-316893399.046353,8760,393.709598
-316893381.085799,8760,419.751986
-316893403.650947,8760,463.62411
-316893431.121369,8760,503.635576
-316893415.460366,8760,542.555166
-316893392.936161,8760,570.498985
-316893358.376976,8760,606.770113
-316893320.866472,8760,645.74834
-316893318.724083,8760,683.277187
-316893373.495248,8760,707.939686
-316893402.071857,8760,744.684571
